"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
137,118,"KEN","Kenya",2,"Coast",7,"Kilifi",34,"Ganze",137,"Ganze",NA,"Kata","Location"
138,118,"KEN","Kenya",2,"Coast",7,"Kilifi",34,"Ganze",138,"Kauma",NA,"Kata","Location"
139,118,"KEN","Kenya",2,"Coast",7,"Kilifi",34,"Ganze",139,"Mwahera",NA,"Kata","Location"
140,118,"KEN","Kenya",2,"Coast",7,"Kilifi",34,"Ganze",140,"Ndigiria",NA,"Kata","Location"
141,118,"KEN","Kenya",2,"Coast",7,"Kilifi",34,"Ganze",141,"Sokoke",NA,"Kata","Location"
142,118,"KEN","Kenya",2,"Coast",7,"Kilifi",34,"Ganze",142,"Vitengeni",NA,"Kata","Location"
143,118,"KEN","Kenya",2,"Coast",7,"Kilifi",35,"Kalolenli",143,"Chonyi",NA,"Kata","Location"
144,118,"KEN","Kenya",2,"Coast",7,"Kilifi",35,"Kalolenli",144,"Jibana",NA,"Kata","Location"
145,118,"KEN","Kenya",2,"Coast",7,"Kilifi",35,"Kalolenli",145,"Kaloleni",NA,"Kata","Location"
146,118,"KEN","Kenya",2,"Coast",7,"Kilifi",35,"Kalolenli",146,"Kambe/Ribe",NA,"Kata","Location"
147,118,"KEN","Kenya",2,"Coast",7,"Kilifi",35,"Kalolenli",147,"Kayafungo",NA,"Kata","Location"
148,118,"KEN","Kenya",2,"Coast",7,"Kilifi",35,"Kalolenli",148,"Mariakani",NA,"Kata","Location"
149,118,"KEN","Kenya",2,"Coast",7,"Kilifi",35,"Kalolenli",149,"Mwanamwinga",NA,"Kata","Location"
150,118,"KEN","Kenya",2,"Coast",7,"Kilifi",35,"Kalolenli",150,"Mwarakaya",NA,"Kata","Location"
151,118,"KEN","Kenya",2,"Coast",7,"Kilifi",35,"Kalolenli",151,"Rabai",NA,"Kata","Location"
152,118,"KEN","Kenya",2,"Coast",7,"Kilifi",35,"Kalolenli",152,"Ruruma",NA,"Kata","Location"
153,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi",153,"Adu",NA,"Kata","Location"
154,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi",154,"Bungale",NA,"Kata","Location"
155,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi",155,"Chakama",NA,"Kata","Location"
156,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi",156,"Fundi-Issa",NA,"Kata","Location"
157,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi",157,"Ganda",NA,"Kata","Location"
158,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi",158,"Garashi",NA,"Kata","Location"
159,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi",159,"Gede",NA,"Kata","Location"
160,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi",160,"Jilore",NA,"Kata","Location"
161,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi",161,"Magarini",NA,"Kata","Location"
162,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi",162,"Malindi",NA,"Kata","Location"
163,118,"KEN","Kenya",2,"Coast",7,"Kilifi",36,"Malindi",163,"Marafa",NA,"Kata","Location"
164,118,"KEN","Kenya",2,"Coast",8,"Kwale",37,"Kinango",164,"Chengoni",NA,"Kata","Location"
165,118,"KEN","Kenya",2,"Coast",8,"Kwale",37,"Kinango",165,"Kasemeni",NA,"Kata","Location"
166,118,"KEN","Kenya",2,"Coast",8,"Kwale",37,"Kinango",166,"Kinango",NA,"Kata","Location"
167,118,"KEN","Kenya",2,"Coast",8,"Kwale",37,"Kinango",167,"Mtaa",NA,"Kata","Location"
168,118,"KEN","Kenya",2,"Coast",8,"Kwale",37,"Kinango",168,"Mwavumbo",NA,"Kata","Location"
169,118,"KEN","Kenya",2,"Coast",8,"Kwale",37,"Kinango",169,"Ndavaya",NA,"Kata","Location"
170,118,"KEN","Kenya",2,"Coast",8,"Kwale",37,"Kinango",170,"Puma",NA,"Kata","Location"
171,118,"KEN","Kenya",2,"Coast",8,"Kwale",37,"Kinango",171,"Samburu",NA,"Kata","Location"
172,118,"KEN","Kenya",2,"Coast",8,"Kwale",37,"Kinango",172,"Taru",NA,"Kata","Location"
173,118,"KEN","Kenya",2,"Coast",8,"Kwale",38,"Kubo",173,"Lukore",NA,"Kata","Location"
174,118,"KEN","Kenya",2,"Coast",8,"Kwale",38,"Kubo",174,"Majimboni",NA,"Kata","Location"
175,118,"KEN","Kenya",2,"Coast",8,"Kwale",38,"Kubo",175,"Mkongani",NA,"Kata","Location"
176,118,"KEN","Kenya",2,"Coast",8,"Kwale",38,"Kubo",176,"Mwaluphamba",NA,"Kata","Location"
177,118,"KEN","Kenya",2,"Coast",8,"Kwale",38,"Kubo",177,"Shimba Hills National Reserve",NA,"Kata","Location"
178,118,"KEN","Kenya",2,"Coast",8,"Kwale",39,"Matuga",178,"Ngombeni",NA,"Kata","Location"
179,118,"KEN","Kenya",2,"Coast",8,"Kwale",39,"Matuga",179,"Tiwi",NA,"Kata","Location"
180,118,"KEN","Kenya",2,"Coast",8,"Kwale",39,"Matuga",180,"Tshimba",NA,"Kata","Location"
181,118,"KEN","Kenya",2,"Coast",8,"Kwale",39,"Matuga",181,"Waa",NA,"Kata","Location"
182,118,"KEN","Kenya",2,"Coast",8,"Kwale",40,"Msambweni",182,"Diani",NA,"Kata","Location"
183,118,"KEN","Kenya",2,"Coast",8,"Kwale",40,"Msambweni",183,"Kikoneni",NA,"Kata","Location"
184,118,"KEN","Kenya",2,"Coast",8,"Kwale",40,"Msambweni",184,"Kinondo",NA,"Kata","Location"
185,118,"KEN","Kenya",2,"Coast",8,"Kwale",40,"Msambweni",185,"Msambweni",NA,"Kata","Location"
186,118,"KEN","Kenya",2,"Coast",8,"Kwale",40,"Msambweni",186,"Mwereni",NA,"Kata","Location"
187,118,"KEN","Kenya",2,"Coast",8,"Kwale",40,"Msambweni",187,"Ngombeni",NA,"Kata","Location"
188,118,"KEN","Kenya",2,"Coast",8,"Kwale",40,"Msambweni",188,"Pongwe/Kidimu",NA,"Kata","Location"
189,118,"KEN","Kenya",2,"Coast",8,"Kwale",40,"Msambweni",189,"Vanga/Lunga Lunga",NA,"Kata","Location"
190,118,"KEN","Kenya",2,"Coast",9,"Lamu",41,"Amu",190,"Amu",NA,"Kata","Location"
191,118,"KEN","Kenya",2,"Coast",9,"Lamu",41,"Amu",191,"Mokowe",NA,"Kata","Location"
192,118,"KEN","Kenya",2,"Coast",9,"Lamu",42,"Faza",192,"Faza",NA,"Kata","Location"
193,118,"KEN","Kenya",2,"Coast",9,"Lamu",42,"Faza",193,"Siyu",NA,"Kata","Location"
194,118,"KEN","Kenya",2,"Coast",9,"Lamu",43,"Kiunga",194,"Kiunga",NA,"Kata","Location"
195,118,"KEN","Kenya",2,"Coast",9,"Lamu",44,"Mpeketoni",195,"Baharini",NA,"Kata","Location"
196,118,"KEN","Kenya",2,"Coast",9,"Lamu",44,"Mpeketoni",196,"Mkunumbi",NA,"Kata","Location"
197,118,"KEN","Kenya",2,"Coast",9,"Lamu",44,"Mpeketoni",197,"Mpeketoni",NA,"Kata","Location"
198,118,"KEN","Kenya",2,"Coast",9,"Lamu",45,"Witu",198,"Witu",NA,"Kata","Location"
199,118,"KEN","Kenya",2,"Coast",10,"Mombasa",46,"Changamwe",199,"Changamwe",NA,"Kata","Location"
200,118,"KEN","Kenya",2,"Coast",10,"Mombasa",46,"Changamwe",200,"Miritini",NA,"Kata","Location"
201,118,"KEN","Kenya",2,"Coast",10,"Mombasa",46,"Changamwe",201,"Rabai",NA,"Kata","Location"
202,118,"KEN","Kenya",2,"Coast",10,"Mombasa",47,"Island",202,"Ganjoni",NA,"Kata","Location"
203,118,"KEN","Kenya",2,"Coast",10,"Mombasa",47,"Island",203,"Majengo",NA,"Kata","Location"
204,118,"KEN","Kenya",2,"Coast",10,"Mombasa",47,"Island",204,"Old Town",NA,"Kata","Location"
205,118,"KEN","Kenya",2,"Coast",10,"Mombasa",47,"Island",205,"Railways/Shimanzi",NA,"Kata","Location"
206,118,"KEN","Kenya",2,"Coast",10,"Mombasa",47,"Island",206,"Tononoka",NA,"Kata","Location"
207,118,"KEN","Kenya",2,"Coast",10,"Mombasa",47,"Island",207,"Tudor",NA,"Kata","Location"
208,118,"KEN","Kenya",2,"Coast",10,"Mombasa",48,"Kisauni",208,"Bamburi",NA,"Kata","Location"
209,118,"KEN","Kenya",2,"Coast",10,"Mombasa",48,"Kisauni",209,"Kisauni",NA,"Kata","Location"
210,118,"KEN","Kenya",2,"Coast",10,"Mombasa",49,"Likoni",210,"Likoni",NA,"Kata","Location"
211,118,"KEN","Kenya",2,"Coast",10,"Mombasa",49,"Likoni",211,"Mtongwe",NA,"Kata","Location"
212,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",50,"Mwatate",212,"Bura",NA,"Kata","Location"
213,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",50,"Mwatate",213,"Chawia",NA,"Kata","Location"
214,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",50,"Mwatate",214,"Mwatate",NA,"Kata","Location"
215,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",50,"Mwatate",215,"Rong'e",NA,"Kata","Location"
216,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",51,"Taveta",216,"Chala",NA,"Kata","Location"
217,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",51,"Taveta",217,"Kimorigo",NA,"Kata","Location"
218,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",52,"Tsavo National Park (E&W)",218,"Tsavo National Park (E&W)",NA,"Kata","Location"
219,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",53,"Voi",219,"Kasigau",NA,"Kata","Location"
220,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",53,"Voi",220,"Mbololo",NA,"Kata","Location"
221,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",53,"Voi",221,"Sagala",NA,"Kata","Location"
222,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",53,"Voi",222,"Voi",NA,"Kata","Location"
223,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",54,"Wundanyi",223,"Mbale",NA,"Kata","Location"
224,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",54,"Wundanyi",224,"Mwanda",NA,"Kata","Location"
225,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",54,"Wundanyi",225,"Werugha",NA,"Kata","Location"
226,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",54,"Wundanyi",226,"Wumingu",NA,"Kata","Location"
227,118,"KEN","Kenya",2,"Coast",11,"Taita Taveta",54,"Wundanyi",227,"Wundanyi",NA,"Kata","Location"
228,118,"KEN","Kenya",2,"Coast",12,"Tana River",55,"Bura",228,"Bura",NA,"Kata","Location"
